galaxy_id,snap_num,stellar_mass,total_mass,gas_mass,dm_mass,baryonic_mass,halo_mass,stellar_to_halo_ratio,gas_to_stellar_ratio,baryonic_to_halo_ratio,pos_x,pos_y,pos_z,distance_mpc,distance_modulus,vel_x,vel_y,vel_z,velocity_magnitude,rotation_velocity,log_rotation_velocity,max_circular_velocity,velocity_dispersion,sfr,specific_sfr,gas_metallicity,stellar_metallicity,half_mass_radius,surface_density,inclination,abs_mag_g,abs_mag_r,abs_mag_i,redshift,lookback_time,cosmic_time,FUV,NUV,u,g,r,i,z,Y,J,H,K,IRAC_3.6,IRAC_4.5,IRAC_5.8,IRAC_8.0,skirt_abs_mag_FUV,skirt_abs_mag_FUV_dusty,skirt_extinction_FUV,skirt_abs_mag_NUV,skirt_abs_mag_NUV_dusty,skirt_extinction_NUV,skirt_abs_mag_u,skirt_abs_mag_u_dusty,skirt_extinction_u,skirt_abs_mag_g,skirt_abs_mag_g_dusty,skirt_extinction_g,skirt_abs_mag_r,skirt_abs_mag_r_dusty,skirt_extinction_r,skirt_abs_mag_i,skirt_abs_mag_i_dusty,skirt_extinction_i,skirt_abs_mag_z,skirt_abs_mag_z_dusty,skirt_extinction_z,skirt_abs_mag_Y,skirt_abs_mag_Y_dusty,skirt_extinction_Y,skirt_abs_mag_J,skirt_abs_mag_J_dusty,skirt_extinction_J,skirt_abs_mag_H,skirt_abs_mag_H_dusty,skirt_extinction_H,skirt_abs_mag_K,skirt_abs_mag_K_dusty,skirt_extinction_K,skirt_abs_mag_IRAC_3.6,skirt_abs_mag_IRAC_3.6_dusty,skirt_extinction_IRAC_3.6,skirt_abs_mag_IRAC_4.5,skirt_abs_mag_IRAC_4.5_dusty,skirt_extinction_IRAC_4.5,skirt_abs_mag_IRAC_5.8,skirt_abs_mag_IRAC_5.8_dusty,skirt_extinction_IRAC_5.8,skirt_abs_mag_IRAC_8.0,skirt_abs_mag_IRAC_8.0_dusty,skirt_extinction_IRAC_8.0
1,99,394617655742.54504,2501609093593.1504,84115736.64009447,2106111603188.6626,394701771479.1851,3001930912311.7803,0.1314546094728912,0.00021315756002304403,0.1314826300167002,0,0,0,0.0,-inf,0,0,0,0.0,375.3091999999999,2.5743892104569457,536.156,212.092,0.0,0.0,0.041463,0.02,29.5395,143952880.54573983,70.87222561069963,-23.297560238527748,-23.115964496174684,-24.0058190139477,0.0,0.0,13.8,-23.887254766593387,-23.887254766593387,-23.887254766593387,-22.59305392404089,-23.65305392404089,-23.652095797534216,-24.432095797534213,-24.432095797534213,-24.432095797534213,-24.432095797534213,-24.432095797534213,-24.432095797534213,-24.432095797534213,-24.432095797534213,-24.432095797534213,-8.899957106586289,-8.36249687184769,0.5374602347385986,-15.659957106586289,-15.050902158661135,0.6090549479251548,-22.10995710658629,-21.784476258723632,0.3254808478626574,-22.599957106586288,-22.354260517340922,0.2456965892453668,-23.34470221796932,-23.165748295758412,0.17895392221090742,-23.45470221796932,-23.32023724429251,0.13446497367681107,-23.48470221796932,-23.388486721869846,0.09621549609947397,-23.622543053244033,-23.543310806446332,0.07923224679769984,-23.572543053244033,-23.513381111685057,0.05916194155897545,-23.432543053244032,-23.395257363469575,0.03728568977445599,-22.95254305324403,-22.928480506002092,0.024062547241939857,-22.062543053244035,-22.05172767788302,0.010815375361015785,-21.482543053244033,-21.475141453241328,0.007401600002704916,-21.192543053244034,-21.187540885083273,0.00500216816076122,-20.97254305324403,-20.969542424552174,0.0030006286918562255
2,99,192285208148.80426,2318571006790.6704,3356583997.6380277,2122497785651.0186,195641792146.4423,2782285208148.804,0.06911053100725838,0.017456277734273034,0.07031694363088417,0,0,0,0.0,-inf,0,0,0,0.0,248.2928,2.3949641260563506,354.704,154.112,0.000985458,5.124980800589617e-15,0.0309728,0.02,58.6992,17763626.753749866,40.955165058192925,-22.55729540527777,-23.03209803954254,-22.657428182182755,0.0,0.0,13.8,-23.10676188295885,-23.10676188295885,-23.10676188295885,-21.812402234536954,-22.872402234536956,-22.871254923938523,-23.65125492393852,-23.65125492393852,-23.65125492393852,-23.65125492393852,-23.65125492393852,-23.65125492393852,-23.65125492393852,-23.65125492393852,-23.65125492393852,-8.127568406955149,-7.7554655836220725,0.3721028233330763,-14.887568406955149,-14.465898019008858,0.42167038794629175,-21.33756840695515,-21.112226447490105,0.22534195946504398,-21.827568406955148,-21.657463925484116,0.1701044814710314,-22.56770230465105,-22.443806143786993,0.12389616086405536,-22.67770230465105,-22.58460742411745,0.09309488053359766,-22.70770230465105,-22.641088896936488,0.06661340771456273,-22.841333780742875,-22.786478480151594,0.054855300591282734,-22.791333780742875,-22.75037386582253,0.04095991492034422,-22.651333780742874,-22.625519572475458,0.025814208267415647,-22.171333780742874,-22.154674424037783,0.016659356705089313,-21.281333780742877,-21.273845911972085,0.007487868770790648,-20.701333780742875,-20.69620938998766,0.0051243907552121085,-20.411333780742876,-20.407870601934288,0.0034631788085891626,-20.191333780742873,-20.189256338848857,0.0020774418940165563
3,99,93611012695.60083,497887511071.74493,60540301.15146146,403919397697.0771,93671552996.75229,597465013286.0939,0.1566803253980255,0.0006467219978521448,0.15678165401109107,0,0,0,0.0,-inf,0,0,0,0.0,256.9917,2.4099190972518847,367.131,142.501,0.0,0.0,0.0431557,0.02,12.7713,182686669.12256673,64.94249538539475,-21.736955461765238,-22.012666101181203,-22.6572172330014,0.0,0.0,13.8,-22.326178357657824,-22.326178357657824,-22.326178357657824,-21.031705223159438,-22.091705223159437,-22.090422754697073,-22.87042275469707,-22.87042275469707,-22.87042275469707,-22.87042275469707,-22.87042275469707,-22.87042275469707,-22.87042275469707,-22.87042275469707,-22.87042275469707,-7.346102676705076,-7.234773347469127,0.11132932923594913,-14.106102676705076,-13.979943243061912,0.1261594336431637,-20.556102676705077,-20.488682685178965,0.06741999152611046,-21.046102676705075,-20.995209169226236,0.050893507478838564,-21.7882812497353,-21.751212795482918,0.037068454252382574,-21.898281249735298,-21.870428221069,0.027853028666297058,-21.9282812497353,-21.90835120477473,0.019930044960569517,-22.06343735258184,-22.047025212074114,0.01641214050772567,-22.01343735258184,-22.0011825682381,0.012254784343739547,-21.87343735258184,-21.865714007552025,0.0077233450298118626,-21.393437352581838,-21.388453044774476,0.004984307807360682,-20.50343735258184,-20.501197059427945,0.0022402931538972634,-19.92343735258184,-19.921904187688302,0.0015331648935380474,-19.63343735258184,-19.63240120517954,0.0010361474022981781,-19.413437352581838,-19.41281580338069,0.0006215492011478225
4,99,89881458517.86241,276433421907.2926,4974904.044877472,186257750221.4349,89886433421.90729,331720106288.7511,0.2709557148146566,5.53496141130019e-05,0.27097071210891327,0,0,0,0.0,-inf,0,0,0,0.0,255.79399999999998,2.4078903532878577,365.42,158.472,0.0,0.0,0.0327545,0.02,5.4216,973341617.83199,35.83006943570683,-21.99211739587934,-21.86690926323731,-22.420626474474325,0.0,0.0,13.8,-22.278104821194148,-22.278104821194148,-22.278104821194148,-20.98475376395252,-22.04475376395252,-22.044809010867404,-22.824809010867405,-22.824809010867405,-22.824809010867405,-22.824809010867405,-22.824809010867405,-22.824809010867405,-22.824809010867405,-22.824809010867405,-22.824809010867405,-7.248076287966551,-7.201161474122813,0.04691481384373787,-14.008076287966551,-13.954911983603804,0.05316430436274663,-20.458076287966552,-20.42966511928799,0.02841116867856328,-20.94807628796655,-20.92662947385556,0.021446814110989882,-21.70402003964079,-21.688399181753105,0.01562085788768128,-21.814020039640788,-21.802282614616928,0.011737425023860387,-21.84402003964079,-21.835621405106302,0.008398634534488162,-21.999600471792323,-21.992684302243998,0.006916169548325897,-21.949600471792323,-21.944436235825687,0.005164235966635506,-21.809600471792322,-21.80634581017879,0.0032546616135326486,-21.32960047179232,-21.327500056075035,0.002100415717287081,-20.439600471792325,-20.43865639948908,0.0009440723032448842,-19.859600471792323,-19.858954387368158,0.00064608442416507,-19.569600471792324,-19.56916383337164,0.0004366384206848776,-19.34960047179232,-19.349338547416536,0.00026192437578397015
5,99,72099793327.4284,389099498080.8975,40581635.665780924,316758193091.2312,72140374963.0942,466919397697.077,0.1544159306360721,0.0005628537030818748,0.15450284421444546,0,0,0,0.0,-inf,0,0,0,0.0,183.4504,2.2635186630399273,262.072,109.571,0.0,0.0,0.0328145,0.02,15.2485,98702896.82720514,53.39429159654426,-21.67636204006612,-21.833354655989627,-22.79132911811205,0.0,0.0,13.8,-22.042760118505235,-22.042760118505235,-22.042760118505235,-20.748114931068447,-21.808114931068445,-21.806627612721982,-22.586627612721983,-22.586627612721983,-22.586627612721983,-22.586627612721983,-22.586627612721983,-22.586627612721983,-22.586627612721983,-22.586627612721983,-22.586627612721983,-7.082241519488704,-7.016087750767524,0.06615376872117956,-13.842241519488704,-13.767275452123503,0.07496606736520144,-20.292241519488705,-20.25217942123291,0.040062098255793675,-20.782241519488704,-20.751999737325182,0.030241782163523027,-21.511156072270655,-21.489129370355776,0.0220267019148796,-21.621156072270654,-21.60460533196511,0.01655074030554399,-21.651156072270656,-21.63931330276892,0.011842769501736017,-21.78022775112773,-21.77047537989888,0.009752371228847728,-21.730227751127728,-21.72294575118425,0.007281999943478477,-21.590227751127728,-21.585638408998726,0.004589342129001733,-21.110227751127727,-21.107265991201693,0.0029617599260342575,-20.22022775112773,-20.218896531078283,0.0013312200494486166,-19.64022775112773,-19.639316718639932,0.0009110324877965497,-19.35022775112773,-19.349612054832036,0.0006156962956941173,-19.130227751127727,-19.12985841608921,0.0003693350385182209
6,99,95160466489.51875,230448774726.89697,6229701.801003838,134951874815.47092,95166696191.31976,276538529672.27637,0.3441128677522538,6.546522974107105e-05,0.3441353951801981,0,0,0,0.0,-inf,0,0,0,0.0,277.7985,2.4437298963926635,396.855,173.364,0.0,0.0,0.0362035,0.02,3.6349,2292565511.4233117,22.82521065107072,-22.115100529927116,-22.156710721942392,-22.38137176205363,0.0,0.0,13.8,-22.34304832522514,-22.34304832522514,-22.34304832522514,-21.048717396303708,-22.10871739630371,-22.10760429451269,-22.88760429451269,-22.88760429451269,-22.88760429451269,-22.88760429451269,-22.88760429451269,-22.88760429451269,-22.88760429451269,-22.88760429451269,-22.88760429451269,-7.348128389533702,-7.304900927271537,0.04322746226216513,-14.108128389533702,-14.05914262635473,0.04898576317897179,-20.558128389533703,-20.531950246187183,0.026178143346518534,-21.0481283895337,-21.02836722516642,0.01976116436728082,-21.79115771022357,-21.77676460089372,0.014393109329848029,-21.90115771022357,-21.890342808581543,0.010814901642024565,-21.93115771022357,-21.923419181011827,0.00773852921174414,-22.072562240766565,-22.066189659620985,0.006372581145579869,-22.022562240766565,-22.01780389692864,0.004758343837922945,-21.882562240766564,-21.879563384956462,0.0029988558101009975,-21.402562240766564,-21.400626910884274,0.0019353298822905823,-20.512562240766563,-20.511692369471813,0.0008698712947514081,-19.932562240766565,-19.931966936474048,0.0005953042925160435,-19.642562240766566,-19.642159920703754,0.0004023200628107429,-19.422562240766567,-19.422320902793714,0.0002413379728512771
7,99,61166814289.93209,384028638913.49274,34853852.96722764,322640980218.4824,61201668142.899315,460834366696.1913,0.1327305832862435,0.0005698163844534977,0.13280621534731804,0,0,0,0.0,-inf,0,0,0,0.0,185.73099999999997,2.268884397037164,265.33,122.759,0.0,0.0,0.0346967,0.02,11.8123,139539464.7235548,57.68991388569277,-21.66702347544775,-22.03280899015524,-22.38585950890554,0.0,0.0,13.8,-21.863170770945594,-21.863170770945594,-21.863170770945594,-20.56899322058425,-21.62899322058425,-21.628062846967765,-22.408062846967763,-22.408062846967763,-22.408062846967763,-22.408062846967763,-22.408062846967763,-22.408062846967763,-22.408062846967763,-22.408062846967763,-22.408062846967763,-6.864589774322678,-6.795548746438942,0.06904102788373571,-13.624589774322677,-13.546351837960968,0.0782379363617093,-20.07458977432268,-20.03277917915588,0.041810595166797825,-20.564589774322677,-20.533028099667288,0.03156167465538803,-21.31144479759064,-21.288456747620252,0.02298804997038756,-21.421444797590638,-21.404171705746883,0.017273091843756055,-21.45144479759064,-21.439085154365532,0.012359643225106832,-21.59460618858238,-21.584428178365286,0.010178010217093681,-21.544606188582378,-21.537006368181125,0.007599820401254002,-21.404606188582378,-21.399816546147463,0.004789642434913449,-20.924606188582377,-20.92151516363261,0.0030910249497667036,-20.03460618858238,-20.033216867878057,0.0013893207043236037,-19.454606188582378,-19.45365539438563,0.000950794196745639,-19.16460618858238,-19.163963620427296,0.0006425681550826148,-18.944606188582377,-18.944220734039337,0.00038545454303971245
8,99,37324033067.61146,461188367286.6844,25704605845.88131,398072040153.5282,63028638913.49277,553426040744.0212,0.06744177237744965,0.6886877899641264,0.11388809754733913,0,0,0,0.0,-inf,0,0,0,0.0,134.351,2.1282409033174985,191.93,90.3183,3.97566,1.0651742786740654e-10,0.0269349,0.02,30.8631,12472674.848326119,40.20224665354405,-21.183824635419455,-21.717782664417022,-22.03170389832145,0.0,0.0,13.8,-21.325789701176156,-21.325789701176156,-21.325789701176156,-20.031883799974654,-21.091883799974653,-21.091277195556685,-21.871277195556683,-21.871277195556683,-21.871277195556683,-21.871277195556683,-21.871277195556683,-21.871277195556683,-21.871277195556683,-21.871277195556683,-21.871277195556683,-6.333118207653268,-6.268755913570967,0.06436229408230075,-13.093118207653268,-13.02018225604802,0.07293595160524712,-19.54311820765327,-19.50414100953836,0.03897719811491104,-20.033118207653267,-20.00369538693106,0.02942282072220602,-20.770820083824326,-20.74938987517992,0.021430208644406003,-20.880820083824325,-20.864717545217417,0.0161025386069073,-20.910820083824326,-20.899298021995435,0.011522061828891747,-21.050135416267867,-21.040647143760275,0.00948827250759349,-21.000135416267867,-20.993050616249217,0.007084800018648162,-20.860135416267866,-20.8556703556453,0.004465060622563348,-20.380135416267866,-20.377253862169805,0.0028815540980594223,-19.49013541626787,-19.488840246272762,0.0012951699951061996,-18.910135416267867,-18.909249054960995,0.0008863613068701686,-18.620135416267868,-18.619536393312487,0.0005990229553794255,-18.400135416267865,-18.39977608299293,0.0003593332749370193
9,99,64839828757.01211,292537643932.6838,34071449.66046649,227509595512.25272,64873900206.67258,351045172719.2205,0.18470508582914913,0.0005254710000569185,0.1848021429953154,0,0,0,0.0,-inf,0,0,0,0.0,180.7232,2.2570139078748905,258.176,111.081,0.0,0.0,0.0350092,0.02,11.2461,163187956.7244227,44.4106613606802,-21.360723471795446,-21.957965033289312,-22.326841659669295,0.0,0.0,13.8,-21.92641718630386,-21.92641718630386,-21.92641718630386,-20.63235438272258,-21.692354382722577,-21.691560750148355,-22.471560750148353,-22.471560750148353,-22.471560750148353,-22.471560750148353,-22.471560750148353,-22.471560750148353,-22.471560750148353,-22.471560750148353,-22.471560750148353,-6.938424259428459,-6.885358883425945,0.05306537600251355,-13.698424259428458,-13.638290080695107,0.06013417873335096,-20.14842425942846,-20.116288368329744,0.032135891098713926,-20.638424259428458,-20.61416575424401,0.024258505184447225,-21.383400407909644,-21.36573164554276,0.01766876236688469,-21.493400407909643,-21.4801241989436,0.01327620896604283,-21.523400407909644,-21.51390070700569,0.009499700903956547,-21.66074597161801,-21.652923087809892,0.007822883808118018,-21.61074597161801,-21.604904701006813,0.005841270611197276,-21.47074597161801,-21.467064621781294,0.0036813498367128344,-20.990745971618008,-20.9883701900542,0.0023757815638078164,-20.10074597161801,-20.09967813083083,0.0010678407871789037,-19.52074597161801,-19.520015185111813,0.0007307865061957008,-19.23074597161801,-19.230252089620567,0.0004938819974424661,-19.010745971618007,-19.010449708788713,0.0002962628292951282
10,99,61181724239.74018,299521700620.0177,79760850.31000885,238128136994.39032,61261485090.050186,359426040744.02124,0.17022062205924876,0.0013036711747035192,0.1704425337775675,0,0,0,0.0,-inf,0,0,0,0.0,147.0315,2.1674103878818185,210.045,107.532,0.0,0.0,0.0358238,0.02,11.954,136284145.82652554,12.377057948145831,-21.65885304832521,-21.468369539605966,-22.055930983222627,0.0,0.0,13.8,-21.862402698670053,-21.862402698670053,-21.862402698670053,-20.568558869101782,-21.62855886910178,-21.628026270633534,-22.40802627063353,-22.40802627063353,-22.40802627063353,-22.40802627063353,-22.40802627063353,-22.40802627063353,-22.40802627063353,-22.40802627063353,-22.40802627063353,-6.873942425340669,-6.818344865690243,0.055597559650426405,-13.633942425340669,-13.570938752493829,0.06300367284683935,-20.08394242534067,-20.050273067712908,0.03366935762776325,-20.573942425340668,-20.548526348218015,0.02541607712265335,-21.309777757633096,-21.29126587392204,0.018511883711057664,-21.419777757633096,-21.40586803201679,0.013909725616306372,-21.449777757633097,-21.439824748204803,0.009953009428293061,-21.58916835233465,-21.5809721746775,0.00819617765715247,-21.53916835233465,-21.533048346867712,0.006120005466934603,-21.399168352334648,-21.395311335150204,0.0038570171844449857,-20.919168352334648,-20.916679202776866,0.002489149557781929,-20.02916835233465,-20.028049556118837,0.0011187962158135886,-19.44916835233465,-19.44840269401974,0.0007656583149060822,-19.15916835233465,-19.15865090318265,0.0005174491520003291,-18.939168352334647,-18.938857952379635,0.00031039995501322334
11,99,37487599645.70416,276783289046.35376,9942766459.994095,229300265721.87778,47430366105.69826,332139946855.6245,0.11286688036353355,0.26522814354515417,0.14280235351008658,0,0,0,0.0,-inf,0,0,0,0.0,115.01489999999998,2.060754106167604,164.307,83.1497,1.0581,2.8225333443595168e-11,0.0347618,0.02,16.9722,41424900.96227226,83.46949768228686,-21.296940999445592,-21.64364232813132,-22.11348891632552,0.0,0.0,13.8,-21.331296011805904,-21.331296011805904,-21.331296011805904,-20.037317553089707,-21.09731755308971,-21.09662445251005,-21.87662445251005,-21.87662445251005,-21.87662445251005,-21.87662445251005,-21.87662445251005,-21.87662445251005,-21.87662445251005,-21.87662445251005,-21.87662445251005,-6.326695204805752,-6.276845403831027,0.04984980097472447,-13.086695204805752,-13.030204945667776,0.056490259137974695,-19.536695204805753,-19.50650663560876,0.030188569196992556,-20.02669520480575,-20.003906679660243,0.022788525145506097,-20.777261614181377,-20.76066351663059,0.01659809755078685,-20.887261614181377,-20.874789896754468,0.012471717426910143,-20.917261614181378,-20.908337561719012,0.008924052462366664,-21.062621350551968,-21.055272505970812,0.007348844581156009,-21.012621350551967,-21.007134040382077,0.0054873101698911676,-20.872621350551967,-20.86916307755924,0.0034582729927283783,-20.392621350551966,-20.390389532989612,0.002231817562352324,-19.50262135055197,-19.50161821715834,0.0010031333936282676,-18.922621350551967,-18.92193484713612,0.0006865034158458497,-18.632621350551968,-18.632157396065406,0.0004639544865627663,-18.412621350551966,-18.41234304020746,0.0002783103445054524
12,99,36748892825.5093,239012400354.29584,1277044582.2261589,200928550339.53354,38025937407.73546,286814880425.15497,0.12812756706010242,0.034750559378477285,0.13258007168724434,0,0,0,0.0,-inf,0,0,0,0.0,119.90649999999998,2.0788427263650493,171.295,93.104,0.245181,6.6717928391520746e-12,0.0540172,0.02,12.2299,78207530.82614906,30.790557686471665,-21.263707934241047,-21.97409002129489,-21.719324843326174,0.0,0.0,13.8,-21.312167365261942,-21.312167365261942,-21.312167365261942,-20.017275271629394,-21.077275271629397,-21.075494105725532,-21.85549410572553,-21.85549410572553,-21.85549410572553,-21.85549410572553,-21.85549410572553,-21.85549410572553,-21.85549410572553,-21.85549410572553,-21.85549410572553,-6.341219760551397,-6.2743220290891015,0.06689773146229502,-13.101219760551396,-13.025410627673137,0.07580913287825974,-19.551219760551398,-19.510707125477985,0.040512635073413794,-20.041219760551396,-20.010637880467687,0.03058188008370982,-20.784836058838927,-20.762561645480677,0.022274413358250183,-20.894836058838926,-20.87809918954386,0.016736869295066858,-20.924836058838927,-20.912860106006427,0.011975952832500502,-21.056426304043267,-21.04656425802231,0.00986204602095774,-21.006426304043266,-20.999062411008232,0.007363893035035911,-20.866426304043266,-20.861785350349024,0.004640953694241488,-20.386426304043265,-20.383431236278906,0.002995067764358409,-19.49642630404327,-19.495080113144294,0.0013461908989733024,-18.916426304043267,-18.915505026119117,0.0009212779241483771,-18.626426304043267,-18.62580368365069,0.0006226203925776949,-18.406426304043265,-18.406052815477096,0.00037348856616989693
13,99,21182609979.332745,305757307351.6386,10732211.39651609,284433126660.7617,21193342190.72926,366908768821.9663,0.05773263486545643,0.0005066519851419252,0.057761885219518486,0,0,0,0.0,-inf,0,0,0,0.0,153.2629,2.1854370389035718,218.947,80.5503,0.0,0.0,0.0347206,0.02,27.1129,9172287.367213527,2.4302963420660886,-20.67038170948466,-20.829644574010917,-21.48999863305755,0.0,0.0,13.8,-20.708200773645594,-20.708200773645594,-20.708200773645594,-19.41497348981097,-20.47497348981097,-20.475176482332465,-21.255176482332466,-21.255176482332466,-21.255176482332466,-21.255176482332466,-21.255176482332466,-21.255176482332466,-21.255176482332466,-21.255176482332466,-21.255176482332466,-5.6582717540198075,-5.60326671197642,0.05500504204338828,-12.418271754019807,-12.355939527648399,0.062332226371408735,-18.86827175401981,-18.83496121946517,0.03331053455463651,-19.358271754019807,-19.33312654262025,0.0251452113995587,-20.137633814039894,-20.11931921627281,0.01831459776708441,-20.247633814039894,-20.23387232797562,0.013761486064272948,-20.277633814039895,-20.267786876413428,0.009846937626466507,-20.43892785797398,-20.430819029107003,0.008108828866975165,-20.38892785797398,-20.382873074991934,0.00605478298204267,-20.248927857973978,-20.245111946021613,0.0038159119523664274,-19.768927857973978,-19.766465235928354,0.0024626220456247364,-18.878927857973977,-18.877820985059486,0.001106872914490199,-18.29892785797398,-18.298170359478235,0.0007574984957447837,-18.00892785797398,-18.008415923411743,0.0005119345622371292,-17.78892785797398,-17.78862076603176,0.0003070919422204754
14,99,27633599055.2111,178943017419.54535,0.0,151200177147.91852,27633599055.2111,214731620903.4544,0.12868900695177754,0.0,0.12868900695177754,0,0,0,0.0,-inf,0,0,0,0.0,144.57029999999997,2.1600790822328055,206.529,93.5659,0.0,0.0,0.0,0.02,10.0341,87363641.79095012,64.36223994595085,-21.1731322123535,-21.27075154168691,-21.52140027426267,0.0,0.0,13.8,-21.000104527919625,-21.000104527919625,-21.000104527919625,-19.705797285230297,-20.7657972852303,-20.764712398435663,-21.544712398435664,-21.544712398435664,-21.544712398435664,-21.544712398435664,-21.544712398435664,-21.544712398435664,-21.544712398435664,-21.544712398435664,-21.544712398435664,-6.021361282982326,-6.021361282982326,0.0,-12.781361282982326,-12.781361282982326,0.0,-19.231361282982327,-19.231361282982327,0.0,-19.721361282982325,-19.721361282982325,0.0,-20.466290037916725,-20.466290037916725,0.0,-20.576290037916724,-20.576290037916724,0.0,-20.606290037916725,-20.606290037916725,0.0,-20.73708561237877,-20.73708561237877,0.0,-20.68708561237877,-20.68708561237877,0.0,-20.54708561237877,-20.54708561237877,0.0,-20.06708561237877,-20.06708561237877,0.0,-19.177085612378768,-19.177085612378768,0.0,-18.59708561237877,-18.59708561237877,0.0,-18.30708561237877,-18.30708561237877,0.0,-18.08708561237877,-18.08708561237877,0.0
