model_name,rank,equation,latex,complexity,loss,score,r2_individual,rmse_individual,r2_overall,rmse_overall
classic_TF,1,-22.863014,$-22.863014$,1,2.4183793,0.0,2.5340799780781964e-07,1.555113918656765,0.889489820261351,0.5169676961319093
classic_TF,2,-20.376057 - log_observed_velocity,$-20.376057 - log_observed_velocity$,3,1.4948723,0.24052840996712976,0.3818703620282379,1.2226497045351952,0.889489820261351,0.5169676961319093
classic_TF,3,sqrt(log_observed_velocity) * -14.527084,$sqrt(log_observed_velocity) * -14.527084$,4,0.26725557,1.7215906725199652,0.8894898321883167,0.5169676682346779,0.889489820261351,0.5169676961319093
classic_TF,4,-12.502496 - (log_observed_velocity * 4.165709),$-12.502496 - (log_observed_velocity * 4.165709)$,5,0.2324731,0.13943087218724767,0.9038723821819608,0.4821546432421863,0.889489820261351,0.5169676961319093
classic_TF,5,(abs(log_observed_velocity) * -4.165719) + -12.502474,$(abs(log_observed_velocity) * -4.165719) + -12.502474$,6,0.23247309,4.301573045908938e-08,0.9038723863169604,0.4821546328720694,0.889489820261351,0.5169676961319093
classic_TF,6,-22.038666 - log((observed_velocity_norm ^ 1.8537761) + 0.026003096),$-22.038666 - log((observed_velocity_norm ^ 1.8537761) + 0.026003096)$,8,0.23070233,0.003823105784015158,0.9046045955081634,0.48031482383953134,0.889489820261351,0.5169676961319093
classic_TF,7,(sqrt(log_observed_velocity) * (-15.279313 - (0.26560837 / observed_velocity_norm))) + 1.5221217,$(sqrt(log_observed_velocity) * (-15.279313 - (0.26560837 / observed_velocity_norm))) + 1.5221217$,10,0.23063524,0.00014542496608929798,0.9046323372205569,0.48024497915126607,0.889489820261351,0.5169676961319093
classic_TF,8,((0.7629954 ^ observed_velocity_norm) + -12.249727) - ((log_observed_velocity - -0.6589154) * 3.5723069),$((0.7629954 ^ observed_velocity_norm) + -12.249727) - ((log_observed_velocity - -0.6589154) * 3.5723069)$,11,0.23036806,0.0011591241534043193,0.9047428161401765,0.47996672801351553,0.889489820261351,0.5169676961319093
classic_TF,9,(sqrt(0.5821555 ^ observed_velocity_norm) + -12.258445) - ((log_observed_velocity - -0.65573543) * 3.5730937),$(sqrt(0.5821555 ^ observed_velocity_norm) + -12.258445) - ((log_observed_velocity - -0.65573543) * 3.5730937)$,12,0.23036799,3.038616145174291e-07,0.9047428450851738,0.47996665509178865,0.889489820261351,0.5169676961319093
classic_TF,10,(sqrt(log_observed_velocity) * (-14.53215 - abs((0.20658731 / observed_velocity_norm) + -0.07435101))) + 0.17303316,$(sqrt(log_observed_velocity) * (-14.53215 - abs((0.20658731 / observed_velocity_norm) + -0.07435101))) + 0.17303316$,13,0.22978188,0.0025474757472814624,0.9049852015474025,0.4793556925707673,0.889489820261351,0.5169676961319093
inclination_corrected_TF,1,-22.86303,$-22.86303$,1,2.4183793,0.0,2.5340799780781964e-07,1.555113918656765,0.8894898170325645,0.5169677036840566
inclination_corrected_TF,2,-20.376057 - log_observed_velocity,$-20.376057 - log_observed_velocity$,3,1.4948723,0.24052840996712976,0.3818703620282379,1.2226497045351952,0.8894898170325645,0.5169677036840566
inclination_corrected_TF,3,sqrt(log_observed_velocity) * -14.527142,$sqrt(log_observed_velocity) * -14.527142$,4,0.2672556,1.7215905602678678,0.8894898197833179,0.5169676972500312,0.8894898170325645,0.5169677036840566
inclination_corrected_TF,4,(log_observed_velocity * -4.165768) + -12.502329,$(log_observed_velocity * -4.165768) + -12.502329$,5,0.23247305,0.1394311995180162,0.9038724028569588,0.4821545913915992,0.8894898170325645,0.5169677036840566
inclination_corrected_TF,5,((sin_inclination + log_observed_velocity) * -4.197619) + -12.362276,$((sin_inclination + log_observed_velocity) * -4.197619) + -12.362276$,7,0.23121695,0.002708928535319082,0.9043918001581572,0.4808502365601997,0.8894898170325645,0.5169677036840566
inclination_corrected_TF,6,(log(observed_velocity_norm + 0.058913615) / -0.52936757) + -21.959383,$(log(observed_velocity_norm + 0.058913615) / -0.52936757) + -21.959383$,8,0.23088919,0.0014185487990361265,0.9045273289054233,0.4805093027195207,0.8894898170325645,0.5169677036840566
inclination_corrected_TF,7,((log_observed_velocity + (sin_inclination * observed_velocity_norm)) * -4.004966) + -12.799664,$((log_observed_velocity + (sin_inclination * observed_velocity_norm)) * -4.004966) + -12.799664$,9,0.22807044,0.012283369852246843,0.9056928819209102,0.47756720992966006,0.8894898170325645,0.5169677036840566
inclination_corrected_TF,8,((((observed_velocity_norm * sin_inclination) ^ 0.9095054) + log_observed_velocity) * -3.9674828) + -12.856682,$((((observed_velocity_norm * sin_inclination) ^ 0.9095054) + log_observed_velocity) * -3.9674828) + -12.856682$,11,0.22795066,0.0002626632907000003,0.9057424109462566,0.47744178702748674,0.8894898170325645,0.5169677036840566
inclination_corrected_TF,9,log(log_observed_velocity) + (((log_observed_velocity ^ (observed_velocity_norm ^ sin_inclination)) * -4.296377) + -13.011824),$log(log_observed_velocity) + (((log_observed_velocity ^ (observed_velocity_norm ^ sin_inclination)) * -4.296377) + -13.011824)$,12,0.22743663,0.002257551888699138,0.9059549623312857,0.4769031662717286,0.8894898170325645,0.5169677036840566
inclination_corrected_TF,10,(sin_inclination ^ ((log_observed_velocity * sin_inclination) * observed_velocity_norm)) + ((log_observed_velocity * -3.7744148) + -14.242348),$(sin_inclination ^ ((log_observed_velocity * sin_inclination) * observed_velocity_norm)) + ((log_observed_velocity * -3.7744148) + -14.242348)$,13,0.22693622,0.0022026412991751642,0.9061618818468439,0.4763782320803502,0.8894898170325645,0.5169677036840566
inclination_corrected_TF,11,(log_observed_velocity * -3.7311282) + ((sin_inclination ^ ((observed_velocity_norm * (log_observed_velocity * sin_inclination)) - sin_inclination)) + -14.398076),$(log_observed_velocity * -3.7311282) + ((sin_inclination ^ ((observed_velocity_norm * (log_observed_velocity * sin_inclination)) - sin_inclination)) + -14.398076)$,15,0.2267805,0.0003432097589752579,0.906226272060794,0.47621476247592326,0.8894898170325645,0.5169677036840566
inclination_corrected_TF,12,(sin_inclination ^ abs(((log_observed_velocity * observed_velocity_norm) * sin_inclination) - sin_inclination)) + ((log_observed_velocity * -3.7468345) + -14.356396),$(sin_inclination ^ abs(((log_observed_velocity * observed_velocity_norm) * sin_inclination) - sin_inclination)) + ((log_observed_velocity * -3.7468345) + -14.356396)$,16,0.22661588,0.0007261637476411783,0.9062943424243982,0.47604188891315014,0.8894898170325645,0.5169677036840566
inclination_corrected_TF,13,((log_observed_velocity * -3.7468345) + (sin_inclination ^ abs(((observed_velocity_norm * log_observed_velocity) * sin_inclination) - (sin_inclination / 1.0594547)))) + -14.356396,$((log_observed_velocity * -3.7468345) + (sin_inclination ^ abs(((observed_velocity_norm * log_observed_velocity) * sin_inclination) - (sin_inclination / 1.0594547)))) + -14.356396$,18,0.22660784,1.7739583446410004e-05,0.9062976669640859,0.47603344420324084,0.8894898170325645,0.5169677036840566
